"Obs_ID","Study_ID","Authors_and_Year","Year","Taxon","Taxon_Phylo","Class","Class_Order","Speciation_proxy","SexSel_measure","SexSel_proxy","SexSel_proxy_mechanism","SexSel_proxy_stage","SexSel_proxy_sex","PhyloCorrection","N_r","r","r_Var","r_lCI","r_uCI","z","z_Var","z_lCI","z_uCI"
1,1,"D Urban Jackson et al. 2017",2017,"Charadriidae","Charadriidae","Aves",6,"Species richness","Mating system","Mating system","Both","Both","Both","Yes",135,-0.1921,0.0069,-0.354909827713194,-0.0292901722868057,-0.1945,0.0076,-0.362968838586794,-0.0212311614132056
2,2,"Furness et al. 2019",2019,"Poeciliinae","Poeciliinae","Actinopterygii",3,"Speciation rate","Male courtship","Trait","Choice","Pre-mating","Male","Yes",150,0.2414,0.006,0.0895790528286693,0.393220947171331,0.2463,0.0068,0.0797742594757877,0.403025740524212
3,2,"Furness et al. 2019",2019,"Poeciliinae","Poeciliinae","Actinopterygii",3,"Speciation rate","Male ornamentation","Trait","Choice","Pre-mating","Male","Yes",150,0.3651,0.005,0.226507070887437,0.503692929112563,0.3828,0.0068,0.203474259475788,0.526725740524212
4,2,"Furness et al. 2019",2019,"Poeciliinae","Poeciliinae","Actinopterygii",3,"Speciation rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",150,0.418,0.0046,0.285066332330745,0.550933667669255,0.4453,0.0068,0.256374259475788,0.579625740524212
5,3,"Gage et al. 2002",2002,"Mammalia","Mammalia","Mammalia",7,"Species richness","Sexual size dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",40,0.0447,0.0255,-0.268286900684358,0.357686900684358,0.0448,0.027,-0.277360863813038,0.366760863813038
6,3,"Gage et al. 2002",2002,"Mammalia","Mammalia","Mammalia",7,"Species richness","Residual testes weight","Trait","Competition","Post-mating","Male","Yes",6,0.3742,0.1479,-0.379572273302753,1.12797227330275,0.3933,0.3333,-0.757349945870707,1.50574994587071
7,3,"Gage et al. 2002",2002,"Lepidoptera","Lepidoptera","Insecta",2,"Species richness","Sexual size dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",105,0.0632,0.0095,-0.127837169158256,0.254237169158256,0.0633,0.0098,-0.130830100757589,0.257230100757589
8,3,"Gage et al. 2002",2002,"Lepidoptera","Lepidoptera","Insecta",2,"Species richness","Spermatophore count","Trait","Competition","Post-mating","Male","Yes",53,0.1304,0.0186,-0.136908361260923,0.397708361260923,0.1311,0.02,-0.146785858225127,0.407585858225127
9,3,"Gage et al. 2002",2002,"Araneae","Araneae","Arachnida",1,"Species richness","Sexual size dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",130,0.0775,0.0077,-0.0944893019928856,0.249489301992886,0.0776,0.0079,-0.0967086105793856,0.251708610579386
10,4,"Katzourakis et al. 2001",2001,"Syrphidae","Syrphidae","Insecta",2,"Species richness","Spermathecal width","Other","Competition","Post-mating","Female","Yes",41,0.2038,0.023,-0.0934487174068208,0.501048717406821,0.2067,0.0263,-0.114058584908446,0.521658584908446
